source,target,,
"À cause de sa fatigue, il était hors d'haleine","Nō tōna rohirohi, mapumapu ihora tōna aho",,
"À cause de sa grande fatigue, il a abandonné son fardeau au bord de la route","Nō te rahi o tōna rohirohi, fa'aru'e atura 'oia i tāna hōpoi'a i te pae purūmu",,
"a cause de sa maladie, il alla se pendre","nō tōna ma'i, haere atura 'oia e tārī",,
"A cause de son invalidité, une pension lui a été accordée",Nō tōna rapahu'a i fa'atuha'ahia ai 'oia,,
"À cause des nombreux soucis, je suis resté sans sommeil la nuit dernière","Nō te rahi o te mana'ona'o, 'ua i'ii'i noa vau inapō ra",,
"a cause du vent, la pirogue prend eau.","nō te mata'i, e tomotomo noa te va'a",,
"À ce moment là, le roi Hérode étendit la main pour persécuter une partie de l'Église","I taua 'anotau ra, 'ua fa'atoro maira te ari'i 'o Heroda i tana rima e hāmani 'ino mai i te tahi pae o te 'Ēkālesia ra",,
"a ce moment-là, la fille bien-aimée de tenāni'a et idia tomba malade et mourut. comme c'était une fille de leur vieillesse, leur amour pour elle était très grand (māhine p. 20).","i taua 'anotau ra, 'ua ro'ohia te tamāhine here a tenāni'a rāua 'o idia i te ma'i, 'e pohe atura. nō te mea e tamāhine nō tō rāua ruhiruhiāra'a, 'ua rahi roa te here iāna",,
"À cette époque, nous avions une maison à toit de pandanus","I te reira tau, e fare tāpo'i rauoro tō mātou",,
"À la saison, nous allons dans la vallée pour marier la vanille","Ia tae i te tau, e haere mātou i uta e fa'aai i te vānira",,
À moi de prendre !,Nā'u te 'ai !,,
a quelle heure la marée commencera-t'elle à descendre ?,E aha te hora e pāhe'e ai te miti ?,,
À qui est cette caisse ? À moi,Nā vai tenā 'āfata ? Nā'u,,
À qui est la voiture qui t'a tamponnée ?,Nō vai te pere'o'o i fa'aū mai ia 'oe ?,,
A-t-on mis le coprah en sac ?,Ua oti ānei te pūhā i te 'ō'omohia i roto i te pūtē ?,,
A-t'on été chercher le pain ?,Ua ti'ihia ānei te faraoa ?,,
A-t'on goûté le po'e ? (pour vérifier la consistance),Ua tāotahia ānei te po'e ?,,
"Abrite le feu, il y a trop de vent","Ha'apāruru na i te auahi, e mea mata'i roa",,
accès de fièvre.,ro'ohia-ra'a fīva,,
Accroche ton aiguille sur cette étoffe de peur qu'elle ne tombe,A pātui i tā 'oe nīra i ni'a i teie 'ahu 'a topa,,
"Actuellement, il y a une épidémie de grippe","I teie mau mahana, tē vai nei te pararera'a ma'i hāpu",,
"Actuellement, les Français sont plus de cinquante millions","I teienei, 'ua hau te Farāni i te pae 'ahuru mirioni",,
Agite bien la potion avant de boire !,E fa'a'aereere maita'i 'oe i te rā'au 'a inu ai !,,
Allez-vous rester inactifs jusqu'à ce soir ?,E pārahi noa ānei 'ōrua ē pō noa atu ?,,
allonge un peu les jambes.,tīrōroa mai na tō 'oe 'āvae,,
Allons dans la vallée enlever la coque des māpē,E haere tātou i uta e 'īpa'i i te māpē,,
Allons dans un endroit éclairé pour lire cette lettre,E haere tāua i te vāhi māramarama tai'o ai i teie rata,,
"alors il dit à ses filles :  filles, filles ! ...  (t.h. p. 441).","ua parau ihora i nā tamāhine nāna ra : pōpōti'i, pōpōti'i ē !...",,
alors l'assemblée apportera un jeune taureau en sacrifice pour le péché. ils le mèneront jusqu'à la tente de rencontre (lev. 4/14).,ei reira te 'āmuira'a e hōpoi ai i te tahi pua'atoro oni 'āpī 'ei tāra'ehara. nā rātou e pūtō i mua i te ti'ahapa 'āmuira'a,,
aplatis bien la natte.,a pāpā maita'i i te pē'ue,,
Apporte-moi un couteau !,Hāpoi mai na i te tipi !,,
Apportez la nourriture,Poi mai i te mā'a,,
"Après avoir été torturé, il fut mis à mort","E 'ia oti 'oia i te ha'amāuiuihia, taparahihia atura",,
"Après avoir heurté un arbre, la voiture a fait demi-tour",I te ūra'a te pere'o'o i ni'a i te tumu rā'au nīoi roa a'enei,,
"après la fête, les restes du festin ont été distribués aux travailleurs.","I muri a'e i te 'ōro'a, 'ua 'ōperehia te hāhāta'urua nā te mau rave 'ohipa",,
"Après le cyclone Vē'ena, les arbres sont restés sans branches",Ua moremore te tumu rā'au i muri a'e i te vero Vē'ena,,
armoire à glace,īhata hi'o,,
